NOM;LIBELLE_STRUCTURE;STATUT;LIBELLE_ADRESSE;PRECISION_ADRESSE;NOM_COMMUNE;CODE_INSEE_COMMUNE;CODE_POSTAL;ID_ADRESSE;ID_VOIE;Geo Point;Geo Shape
École primaire Larévellière;Ecole primaire / Groupe scolaire;PUBLIC;Rue Andre Gardot;;ANGERS;49007;49100;592_47;592;47.46855863376298, -0.5335068326273152;"{""coordinates"": [-0.5335068326273152, 47.46855863376298], ""type"": ""Point""}"
École maternelle Jacques Prévert;Ecole maternelle;PUBLIC;Rue Alexis Axilette;;ANGERS;49007;49000;120_73;120;47.45250336372887, -0.5463658944093118;"{""coordinates"": [-0.5463658944093118, 47.45250336372887], ""type"": ""Point""}"
École élémentaire Alfred Clément;Ecole élémentaire;PUBLIC;32 Rue De La Madeleine;;ANGERS;49007;49000;864_32;864;47.46399511949652, -0.5442480263418594;"{""coordinates"": [-0.5442480263418594, 47.46399511949652], ""type"": ""Point""}"
École primaire René Brossard;Ecole primaire / Groupe scolaire;PUBLIC;5 Rue De Gericault;Maternelle située au n°330 RUE SAINT LEONARD;ANGERS;49007;49000;620_5;620;47.45926472105278, -0.5232705764374518;"{""coordinates"": [-0.5232705764374518, 47.45926472105278], ""type"": ""Point""}"
École maternelle Voltaire;Ecole maternelle;PUBLIC;4 Rue de Touraine;;ANGERS;49007;49100;1329_4;1329;47.489747178665404, -0.5245750936657737;"{""coordinates"": [-0.5245750936657737, 47.489747178665404], ""type"": ""Point""}"
École élémentaire Alfred de Musset;Ecole élémentaire;PUBLIC;7 Rue Alfred De Musset;;ANGERS;49007;49100;987_5;987;47.48854214342115, -0.513851865304318;"{""coordinates"": [-0.513851865304318, 47.48854214342115], ""type"": ""Point""}"
École élémentaire Voltaire;Ecole élémentaire;PUBLIC;4 Rue Du Morvan;;ANGERS;49007;49100;973_4;973;47.48511138751986, -0.5293779083729733;"{""coordinates"": [-0.5293779083729733, 47.48511138751986], ""type"": ""Point""}"
École maternelle Joseph Cussonneau;Ecole maternelle;PUBLIC;15 Rue Des Cordeliers;;ANGERS;49007;49100;392_15;392;47.47186189089937, -0.5495688778342186;"{""coordinates"": [-0.5495688778342186, 47.47186189089937], ""type"": ""Point""}"
École élémentaire Jules Verne;Ecole élémentaire;PUBLIC;30 Square Francois Mauriac;;ANGERS;49007;49000;900_30;900;47.44585451929157, -0.5666042482362169;"{""coordinates"": [-0.5666042482362169, 47.44585451929157], ""type"": ""Point""}"
Cité éducative Nelson Mandela;Ecole primaire / Groupe scolaire;PUBLIC;64 Rue De La Fauconnerie;;ANGERS;49007;49100;531_64;531;47.49315817284141, -0.5613640755665991;"{""coordinates"": [-0.5613640755665991, 47.49315817284141], ""type"": ""Point""}"
École élémentaire Claude Monet;Ecole élémentaire;PUBLIC;17 Boulevard Robert D'arbrissel;;ANGERS;49007;49000;1177_17;1177;47.44401394954351, -0.5595645273506358;"{""coordinates"": [-0.5595645273506358, 47.44401394954351], ""type"": ""Point""}"
École maternelle Jean-Jacques Rousseau;Ecole maternelle;PUBLIC;3 Rue Gagarine;;ANGERS;49007;49000;583_3;583;47.45158970678579, -0.5657533086249308;"{""coordinates"": [-0.5657533086249308, 47.45158970678579], ""type"": ""Point""}"
École élémentaire Pierre et Marie Curie;Ecole élémentaire;PUBLIC;18 Rue Du Colonel Sauveboeuf;;ANGERS;49007;49000;1260_18;1260;47.47951183210624, -0.5926306265921771;"{""coordinates"": [-0.5926306265921771, 47.47951183210624], ""type"": ""Point""}"
École maternelle Alfred de Musset;Ecole maternelle;PUBLIC;5 Rue Alfred De Musset;;ANGERS;49007;49100;987_5;987;47.48886497129811, -0.5143980833626977;"{""coordinates"": [-0.5143980833626977, 47.48886497129811], ""type"": ""Point""}"
École élémentaire Marie Talet;Ecole élémentaire;PUBLIC;14 Rue Du Major Allard;;ANGERS;49007;49100;1092_7;1092;47.47582248621017, -0.5428828797931022;"{""coordinates"": [-0.5428828797931022, 47.47582248621017], ""type"": ""Point""}"
École Primaire François Raspail;Ecole primaire / Groupe scolaire;PUBLIC;2 Rue Raspail;;ANGERS;49007;49100;1149_2;1149;47.47507885440843, -0.5718020089726856;"{""coordinates"": [-0.5718020089726856, 47.47507885440843], ""type"": ""Point""}"
Groupe scolaire Gérard Philipe;Ecole primaire / Groupe scolaire;PUBLIC;60 Rue Des Petites Pannes;;ANGERS;49007;49100;1023_60;1023;47.488664871802165, -0.5672940377583605;"{""coordinates"": [-0.5672940377583605, 47.488664871802165], ""type"": ""Point""}"
École primaire Jean Rostand;Ecole primaire / Groupe scolaire;PUBLIC;1 Rue Jean Rostand;Maternelle au n°1 RUE JEAN ROSTAND;ANGERS;49007;49000;1199_1;1199;47.462692031624705, -0.5984538288037883;"{""coordinates"": [-0.5984538288037883, 47.462692031624705], ""type"": ""Point""}"
École maternelle Victor Hugo;Ecole maternelle;PUBLIC;26 Rue Victor Hugo;;ANGERS;49007;49100;707_24;707;47.47874803011255, -0.5369193150119534;"{""coordinates"": [-0.5369193150119534, 47.47874803011255], ""type"": ""Point""}"
École primaire René Gasnier;Ecole primaire / Groupe scolaire;PUBLIC;4 Rue Raphael Berry;;ANGERS;49007;49100;143_4;143;47.489849840409, -0.5760729087012053;"{""coordinates"": [-0.5760729087012053, 47.489849840409], ""type"": ""Point""}"
École maternelle Parcheminerie;Ecole maternelle;PUBLIC;11 Rue Parcheminerie;;ANGERS;49007;49100;1031_11;1031;47.473537874393564, -0.5522727188431263;"{""coordinates"": [-0.5522727188431263, 47.473537874393564], ""type"": ""Point""}"
École maternelle Marie Talet;Ecole maternelle;PUBLIC;14 Rue Du Major Allard;;ANGERS;49007;49100;15_14;15;47.4754538454738, -0.5424753932220292;"{""coordinates"": [-0.5424753932220292, 47.4754538454738], ""type"": ""Point""}"
École primaire Les Grandes Maulévries;Ecole primaire / Groupe scolaire;PUBLIC;5 Square Gaston Allard;;ANGERS;49007;49000;14_5;14;47.45021805797677, -0.5406653363763004;"{""coordinates"": [-0.5406653363763004, 47.45021805797677], ""type"": ""Point""}"
