menuRestaurantNom;menuRestaurantId;menuRestaurantIdType;menuRestaurantType;menuRestaurantConvive;menuDate;menuRepasType;menuPlatRegime;menuPlatType;menuPlatCode;menuPlatNom;menuplatlabellocal;menuplatlabelabio;menuplatlabelfaitmaison;menuplatlabelproduitsfermiers;menuplatlabelaoc;menuplatlabelaop;menuplatlabeligp;menuplatlabelvf;menuplatlabellabelrouge;menuCollNom;menuCollSiret;menuEtablissementNom;menuEtablissementSiret;menuPublicationDate
ECOLE BENIER;3;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BENIER;3;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BENIER;3;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CUSSONNEAU M;6;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BLANCHERAIE;11;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BLANCHERAIE;11;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BORDILLON;12;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE BROSSARD;13;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CHIRON;14;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CHIRON;14;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CONDORCET;17;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CONDORCET;17;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CONDORCET;17;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CURIE;19;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CURIE;19;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE CURIE;19;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DACIER;20;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE FRATELLINI;21;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE FRATELLINI;21;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;garniture;4;Salade verte;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE FRATELLINI;21;autre;élémentaire;élémentaire;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE FRATELLINI;21;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;pain qualité supérieure;12;Pain;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DESCARTES;22;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;plat principal;2;Parmentier de poisson;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE DESCARTES;22;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;dessert;7;Clémentine;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE FERRARO;24;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;produit laitier;6;Yaourt arômatisé;;Agriculture biologique;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
ECOLE GASNIER;25;autre;maternelle;maternelle;2026-01-05;déjeuner;sans exclusion;entrée;1;Carottes râpées vinaigrette;;;;;;;;;;VILLE ANGERS;21490007800012;ANGERS LOIRE RESTAURATION;84097537900016;2026-01-06
